yield,fiftyDayAverage,longBusinessSummary,firstTradeDateEpochUtc,bidSize,twoHundredDayAverage,previousClose,gmtOffSetMilliseconds,phone,averageDailyVolume10Day,navPrice,timeZoneShortName,trailingPE,bid,category,fiftyTwoWeekHigh,quoteType,dayLow,averageVolume10days,regularMarketVolume,ytdReturn,regularMarketPreviousClose,messageBoardId,totalAssets,trailingPegRatio,averageVolume,uuid,volume,trailingAnnualDividendYield,threeYearAverageReturn,fiveYearAverageReturn,dayHigh,timeZoneFullName,trailingAnnualDividendRate,fundInceptionDate,regularMarketOpen,regularMarketDayLow,currency,fundFamily,regularMarketDayHigh,fiftyTwoWeekLow,beta3Year,ask,forwardPE,priceHint,open,maxAge,symbol,shortName,underlyingSymbol,askSize,longName,legalType,exchange
0.0272,131.0848,"In seeking to track the performance of the S&P Oil & Gas Exploration & Production Select Industry Index, the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the oil and gas exploration and production segment of the S&P Total Market Index (""S&P TMI"").",1150983000,800,134.2327,146.39,-14400000,,3993050,148.40224,EDT,4.960662,147.26,Equity Energy,161.42,ETF,146.83,3993050,4331206,0.107811406,146.39,finmb_27776185,3848357376,,4287650,6084768f-476f-3f10-a179-98b65240e633,4331206,0.009495184,0.4327222,-0.0003014,150.43,America/New_York,1.39,1150675200,148.05,146.83,USD,SPDR State Street Global Advisors,150.43,114.16,1.33,151.59,-14834.0,2,148.05,86400,XOP,SPDR S&P Oil & Gas Explor & Pro,XOP,1100,SPDR S&P Oil & Gas Exploration & Production ETF,Exchange Traded Fund,PCX
0.0207,63.99,"In seeking to track the performance of the S&P Retail Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the retail segment of the S&P Total Market Index (""S&P TMI"").",1150983000,3000,63.76445,66.24,-14400000,,4043760,66.00733,EDT,11.707059,63.68,Consumer Cyclical,75.79,ETF,65.78,4043760,4375549,0.100806504,66.24,finmb_27776413,437029568,,5240896,4845b8fe-5647-3efc-83de-8b2ec3667940,4375549,0.007865339,0.110704005,0.0709724,66.71,America/New_York,0.521,1150675200,66.7,65.78,USD,SPDR State Street Global Advisors,66.71,55.32,1.3,67.22,,2,66.7,86400,XRT,SPDR S&P Retail ETF,XRT,2200,SPDR S&P Retail ETF,Exchange Traded Fund,PCX
0.0038,82.2636,"In seeking to track the performance of the S&P Oil & Gas Equipment & Services Select Industry Index, the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the oil and gas equipment and services segment of the S&P Total Market Index (""S&P TMI"").",1150983000,1000,79.20745,93.45,-14400000,,125420,94.4112,EDT,22.086124,89.58,Equity Energy,96.38,ETF,94.12,125420,135508,0.1876483,93.45,finmb_27776147,350714240,,96041,1a6c2cec-9000-34f6-afc0-6042c5f4e777,135508,0.006527555,0.3793366,-0.0958366,96.38,America/New_York,0.61,1150675200,94.12,94.12,USD,SPDR State Street Global Advisors,96.38,51.63,1.65,0.0,,2,94.12,86400,XES,SPDR Series Trust SPDR S&P Oil ,XES,900,SPDR S&P Oil & Gas Equipment & Services ETF,Exchange Traded Fund,PCX
0.0018000001,134.0126,"In seeking to track the performance of the S&P Software & Services Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the software and services segment of the S&P Total Market Index (""S&P TMI"").",1317303000,800,120.501,132.6616,-14400000,,12710,130.20021,EDT,,0.0,Technology,143.89,ETF,129.86,12710,11407,0.198836,132.6616,finmb_141049102,333165120,,18901,85ab3177-0a1f-3f63-8458-20e804206bc6,11407,,0.030795,0.0887932,132.59,America/New_York,,1317168000,132.59,129.86,USD,SPDR State Street Global Advisors,132.59,100.83,1.12,0.0,,2,132.59,86400,XSW,SPDR S&P Software & Services ET,XSW,1100,SPDR S&P Software & Services ETF,Exchange Traded Fund,PCX
0.0034,218.1684,"In seeking to track the performance of the S&P Semiconductor Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the semiconductors segment of the S&P Total Market Index (""S&P TMI"").",1139236200,800,194.02995,216.28,-14400000,,64110,212.57286,EDT,24.108736,0.0,Technology,233.01,ETF,211.19,64110,56861,0.2738744,216.28,finmb_26752143,1677391232,,84333,0cd3581b-75ed-3226-a50f-b1ed89c665cf,56861,0.0020344,0.1941651,0.23189871,216.26,America/New_York,0.44,1138665600,216.26,211.19,USD,SPDR State Street Global Advisors,216.26,138.65,1.48,0.0,,2,216.26,86400,XSD,SPDR S&P Semiconductor ETF,XSD,900,SPDR S&P Semiconductor ETF,Exchange Traded Fund,PCX
0.0068,82.1386,"In seeking to track the performance of the S&P Transportation Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the transportation segment of the S&P Total Market Index (""S&P TMI"").",1296138600,800,75.05465,84.98,-14400000,,27210,84.08779,EDT,12.20882,0.0,Industrials,88.14,ETF,84.06,27210,10578,0.25601378,84.98,finmb_118789341,270578912,,27048,5da217af-8d9d-3c2a-91d5-16c9b747c0cf,10578,,0.1465526,0.0590518,84.84,America/New_York,,1296000000,84.82,84.06,USD,SPDR State Street Global Advisors,84.84,63.47,1.38,0.0,,2,84.82,86400,XTN,SPDR S&P Transportation ETF,XTN,800,SPDR S&P Transportation ETF,Exchange Traded Fund,PCX
0.0046,120.4252,"In seeking to track the performance of the S&P Aerospace & Defense Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the aerospace and defense segment of the S&P Total Market Index (""S&P TMI"").",1317303000,900,115.06865,122.28,-14400000,,54390,122.47482,EDT,27.160965,0.0,Industrials,125.42,ETF,122.03,54390,65634,0.1162808,122.28,finmb_141049103,1594678784,,57287,a336373e-fa12-3d23-8122-330ec0768e3d,65634,0.0,0.11144029,0.0628659,123.62,America/New_York,0.0,1317168000,123.15,122.03,USD,SPDR State Street Global Advisors,123.62,91.37,1.16,0.0,,2,123.15,86400,XAR,SPDR S&P Aerospace & Defense ET,XAR,1000,SPDR S&P Aerospace & Defense ETF,Exchange Traded Fund,PCX
0.0374,107.1732,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that the advisor believes will help the fund track the underlying index. The underlying index is designed to provide a broad representation of the U.S. dollar-denominated liquid investment-grade corporate bond market.",1028035800,2900,107.3761,106.06,-14400000,1-800-474-2737,21175110,106.13159,EDT,32.101604,105.32,Corporate Bond,114.98,ETF,106.055,21175110,11494979,0.03042,106.06,finmb_8797348,36851171328,,19807270,c043b6a2-e736-3790-a8b9-949631fc099a,11494979,0.030086745,-0.0583443,0.014703601,106.31,America/New_York,3.191,1027296000,106.2,106.055,USD,iShares,106.31,98.41,1.57,109.99,,2,106.2,86400,LQD,iShares iBoxx $ Investment Grad,LQD,1400,iShares iBoxx $ Investment Grade Corporate Bond ETF,Exchange Traded Fund,PCX
0.0231,81.1568,The fund will invest at least 80% of its assets in the component securities of the underlying index and it will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to one year and less than three years.,1028035800,29200,81.4412,81.14,-14400000,1-800-474-2737,4896860,81.06476,EDT,3685.909,0.0,Short Government,82.74,ETF,81.08,4896860,3197712,0.0151009,81.14,finmb_8797409,25803266048,,5417027,f1e150c7-2018-31c4-b84e-a4f346d68be5,3197712,0.0038575302,-0.0104799,0.0090189995,81.16,America/New_York,0.313,1027296000,81.13,81.08,USD,iShares,81.16,80.48,0.26,0.0,,2,81.13,86400,SHY,iShares 1-3 Year Treasury Bond ,SHY,36200,iShares 1-3 Year Treasury Bond ETF,Exchange Traded Fund,NGM
0.0335,110.2032,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of less than or equal to one year.",1168525800,2200,110.1282,110.1,-14400000,1-800-474-2737,2328320,110.09446,EDT,,0.0,Ultrashort Bond,110.5,ETF,110.11,2328320,2446160,0.0277742,110.1,finmb_31131108,19947001856,,3157974,b9b54bd6-cda1-32ad-a73e-b0dd51e719ab,2446160,0.0,0.0119973,0.0151651,110.13,America/New_York,0.0,1167955200,110.13,110.11,USD,iShares,110.13,109.73,0.02,0.0,,2,110.13,86400,SHV,iShares Short Treasury Bond ETF,SHV,28000,iShares Short Treasury Bond ETF,Exchange Traded Fund,NGM
0.0305,101.0232,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in U.S. Treasury securities that the advisor believes will help the fund track the underlying index. The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity greater than or equal to twenty years.",1028035800,1400,102.8067,96.69,-14400000,1-800-474-2737,35542410,97.13457,EDT,,0.0,Long Government,117.06,ETF,96.84,35542410,20105381,-0.0057716,96.69,finmb_8797414,43548020736,,25234033,f613eb1c-3d8f-3b08-afb9-72fd728b533a,20105381,0.022256695,-0.1525105,-0.0203486,97.285,America/New_York,2.152,1027296000,96.88,96.84,USD,iShares,97.285,91.85,2.1,0.0,-3239.6667,2,96.88,86400,TLT,iShares 20+ Year Treasury Bond ,TLT,800,iShares 20+ Year Treasury Bond ETF,Exchange Traded Fund,NGM
0.023,22.8606,The fund will invest at least 80% of its assets in the component securities of the underlying index and will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The underlying index includes publicly-issued U.S. Treasury securities that have a remaining maturity greater than one year and less than or equal to thirty years and have $300 million or more of outstanding face value.,1330093800,43500,22.9997,22.64,-14400000,1-800-474-2737,6944970,22.64252,EDT,,22.33,Intermediate Government,24.1,ETF,22.63,6944970,5805929,0.0118604,22.64,finmb_170834319,24182872064,,10124406,93362a7f-fa2d-34a4-baf9-aa4f8aa99c0b,5805929,,-0.0536096,0.0027576,22.68,America/New_York,,1329177600,22.645,22.63,USD,iShares,22.68,22.13,0.86,23.01,,2,22.645,86400,GOVT,iShares U.S. Treasury Bond ETF,GOVT,45900,iShares U.S. Treasury Bond ETF,Exchange Traded Fund,BTS
0.0255,96.3526,"The underlying index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to seven years and less than ten years. The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in U.S. Treasury securities that the advisor believes will help the fund track the underlying index.",1028035800,3200,97.29185,95.3,-14400000,1-800-474-2737,7236090,95.32282,EDT,,0.0,Long Government,104.33,ETF,95.26,7236090,5284706,0.011570999,95.3,finmb_8797472,29076992000,,6993554,23cc037b-8361-34e8-886c-b9963a0c5e2b,5284706,0.00980063,-0.0659718,0.0036511999,95.5156,America/New_York,0.934,1027296000,95.3,95.26,USD,iShares,95.5156,92.48,1.18,0.0,,2,95.3,86400,IEF,iShares 7-10 Year Treasury Bond,IEF,41800,iShares 7-10 Year Treasury Bond ETF,Exchange Traded Fund,NGM
0.0347,91.6142,"The fund invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of greater than or equal to 1 month and less than 3 months.",1180531800,312300,91.58705,91.52,-14400000,,6537270,91.51554,EDT,,0.0,Ultrashort Bond,91.85,ETF,91.53,6537270,4255624,0.0278161,91.52,finmb_34697630,27481858048,,6315983,083177d9-d6f3-3d95-96de-3c8eac596f99,4255624,,0.0134930005,0.014603999,91.54,America/New_York,,1180051200,91.53,91.53,USD,SPDR State Street Global Advisors,91.54,91.33,0.0,0.0,,2,91.53,86400,BIL,SPDR Bloomberg 1-3 Month T-Bill,BIL,381200,SPDR Bloomberg 1-3 Month T-Bill ETF,Exchange Traded Fund,PCX
